GENESIS-Tabelle: 14338-01-04-4
Landtagswahlen: Baden-Württemberg - Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;
Landtagswahlen: Baden-Württemberg;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
14.03.2021;08;Baden-Württemberg;7671039;63,8;4859651;1168975;535489;1586192;508429;173317;473485;413764
14.03.2021;081;  Stuttgart, Regierungsbezirk;2791347;64,7;1796057;437362;213386;568800;198496;58585;175713;143715
14.03.2021;08111;    Stuttgart, Stadtkreis;371099;64,8;239712;50775;26470;93411;26078;14304;12774;15900
14.03.2021;08115;    Böblingen, Landkreis;260097;66,0;170768;43817;20138;54763;19731;3990;15023;13306
14.03.2021;08116;    Esslingen, Landkreis;361347;66,9;240461;55979;28608;86209;25127;7240;20834;16464
14.03.2021;08117;    Göppingen, Landkreis;176740;62,7;109954;29938;14768;30805;10627;2392;13199;8225
14.03.2021;08118;    Ludwigsburg, Landkreis;361857;66,6;239692;57111;25373;82901;26525;7660;21253;18869
14.03.2021;08119;    Rems-Murr-Kreis, Landkreis;294406;65,6;191995;46548;25385;53835;25804;5197;19145;16081
14.03.2021;08121;    Heilbronn, Stadtkreis;75839;57,2;43041;9772;5208;12794;5089;1696;5346;3136
14.03.2021;08125;    Heilbronn, Landkreis;241731;65,5;156970;38651;18456;42771;18616;4379;21187;12910
14.03.2021;08126;    Hohenlohekreis, Landkreis;82105;63,0;51271;12271;6207;14913;5487;1408;7463;3522
14.03.2021;08127;    Schwäbisch Hall, Landkreis;142793;61,6;87172;20564;9831;24808;11304;2882;10850;6933
14.03.2021;08128;    Main-Tauber-Kreis, Landkreis;100502;63,8;63573;18776;6630;17252;5371;1534;6770;7240
