GENESIS-Tabelle: 14341-01-04-4
Landtagswahlen: Berlin - Wahlberechtigte und -beteiligung,;;;;;;;;;;;;
Gültige Stimmen nach Parteien - Wahl-/Stichtag -;;;;;;;;;;;;
Wahl des Abgeordnetenhauses: Berlin;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
12.02.2023;11;Berlin;2431776;62,9;1516860;428228;279017;278964;70416;185119;137871;137245
12.02.2023;11001001;    Berlin-Mitte;203886;59,0;119268;24133;19746;32445;6062;18898;6720;11264
12.02.2023;11002002;    Berlin-Friedrichshain-Kreuzberg;167015;64,5;107104;14317;15682;35905;3558;22558;3935;11149
12.02.2023;11003003;    Berlin-Pankow;280603;67,6;188364;40499;30464;42410;7351;30465;17977;19198
12.02.2023;11004004;    Berlin-Charlottenburg-Wilmersdorf;214149;66,4;141148;43134;29232;30419;10324;10834;7439;9766
12.02.2023;11005005;    Berlin-Spandau;157093;56,9;88357;34531;19002;8935;4045;3989;9712;8143
12.02.2023;11006006;    Berlin-Steglitz-Zehlendorf;214308;71,1;151478;53572;30587;27876;12043;8324;8665;10411
12.02.2023;11007007;    Berlin-Tempelhof-Schöneberg;228306;65,3;147896;45975;29421;32098;6780;12567;9264;11791
12.02.2023;11008008;    Berlin-Neukölln;193111;57,8;110675;31101;23535;20509;3437;14522;8325;9246
12.02.2023;11009009;    Berlin-Treptow-Köpenick;205670;64,0;130292;33911;23446;15930;4790;20670;18090;13455
12.02.2023;11010010;    Berlin-Marzahn-Hellersdorf;196840;56,3;109572;34847;17456;6056;3253;15832;20999;11129
12.02.2023;11011011;    Berlin-Lichtenberg;197377;59,6;116649;29591;18958;13689;3526;21655;16115;13115
12.02.2023;11012012;    Berlin-Reinickendorf;173418;61,8;106057;42617;21488;12692;5247;4805;10630;8578
26.09.2021;11;Berlin;2447600;75,4;1821664;328587;390329;343871;130201;256063;145712;226901
