GENESIS-Tabelle: 14342-01-03-4
Landtagswahlen: Brandenburg- Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;
Landtagswahlen: Brandenburg;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01.09.2019;12;Brandenburg;2088592;61,3;1265106;196988;331238;136364;51660;135558;297484;115814
01.09.2019;12051;    Brandenburg an der Havel, kreisfreie Stadt;59696;52,6;30928;5378;7950;3672;1115;3131;6659;3023
01.09.2019;12052;    Cottbus, kreisfreie Stadt;79600;61,6;48435;7467;11967;4001;2733;5274;13003;3990
01.09.2019;12053;    Frankfurt (Oder), kreisfreie Stadt;45561;55,7;25052;3744;5833;2270;953;4385;6138;1729
01.09.2019;12054;    Potsdam, kreisfreie Stadt;137613;69,3;94585;11356;24639;21019;4335;13545;12902;6789
01.09.2019;12060;    Barnim, Landkreis;154732;59,2;90425;12242;21120;9526;2652;11807;20414;12664
01.09.2019;12061;    Dahme-Spreewald, Landkreis;139929;63,7;87923;13261;23545;9204;3447;8662;21459;8345
01.09.2019;12062;    Elbe-Elster, Landkreis;87871;61,9;53662;10485;13274;2561;2359;4484;15560;4939
01.09.2019;12063;    Havelland, Landkreis;134200;61,9;81936;14098;20575;11361;3525;7454;18037;6886
01.09.2019;12064;    Märkisch-Oderland, Landkreis;163069;59,8;96320;13456;24009;9016;3363;13633;23571;9272
01.09.2019;12065;    Oberhavel, Landkreis;176499;60,9;106162;17613;28416;13305;4082;9617;23494;9635
01.09.2019;12066;    Oberspreewald-Lausitz, Landkreis;94066;59,4;55140;9020;14858;2450;2223;5331;17097;4161
01.09.2019;12067;    Oder-Spree, Landkreis;151235;60,2;89927;12768;22310;7352;3410;10254;23787;10046
