GENESIS-Tabelle: 14334-01-03-4
Landtagswahlen: Bremen - Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;
Bürgerschaftswahl: Bremen;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
14.05.2023;04;Bremen;460778;56,9;1263908;331380;376610;150263;64155;137676;x;203824
14.05.2023;04011;    Bremen, kreisfreie Stadt;381421;59,6;1098932;296158;328835;128442;55532;127559;x;162406
14.05.2023;04012;    Bremerhaven, kreisfreie Stadt;79357;44,0;164976;35222;47775;21821;8623;10117;x;41418
26.05.2019;04;Bremen;475482;64,1;1469506;391709;366375;256181;87420;166378;89939;111504
26.05.2019;04011;    Bremen, kreisfreie Stadt;394110;66,4;1266007;344715;315518;222362;75685;149111;71473;87143
26.05.2019;04012;    Bremerhaven, kreisfreie Stadt;81372;52,5;203499;46994;50857;33819;11735;17267;18466;24361
10.05.2015;04;Bremen;487599;50,2;1168352;261929;383509;176807;76754;111485;64368;93500
10.05.2015;04011;    Bremen, kreisfreie Stadt;403846;52,1;1008663;223796;329272;158971;68009;100242;56432;71941
10.05.2015;04012;    Bremerhaven, kreisfreie Stadt;83753;40,5;159689;38133;54237;17836;8745;11243;7936;21559
22.05.2011;04;Bremen;494167;55,5;1309355;266483;505348;293993;31176;73769;-;138586
22.05.2011;04011;    Bremen, kreisfreie Stadt;408435;57,0;1115686;227622;438991;251863;25255;64824;-;107131
22.05.2011;04012;    Bremerhaven, kreisfreie Stadt;85732;48,1;193669;38861;66357;42130;5921;8945;-;31455
13.05.2007;04;Bremen;486103;57,5;275816;70728;101290;45493;16486;23282;-;18537
13.05.2007;04011;    Bremen, kreisfreie Stadt;400785;58,6;231686;59673;85927;40218;12598;20226;-;13044
13.05.2007;04012;    Bremerhaven, kreisfreie Stadt;85318;52,6;44130;11055;15363;5275;3888;3056;-;5493
25.05.2003;04;Bremen;481743;61,3;291766;86819;123480;37350;12294;4885;-;26938
25.05.2003;04011;    Bremen, kreisfreie Stadt;395469;62,9;245755;72196;106484;33264;9669;4386;-;19756
25.05.2003;04012;    Bremerhaven, kreisfreie Stadt;86274;54,3;46011;14623;16996;4086;2625;499;-;7182
06.06.1999;04;Bremen;488812;60,1;291091;108050;123875;25958;7327;8418;-;17463
06.06.1999;04011;    Bremen, kreisfreie Stadt;399084;61,7;245203;92416;104758;22409;5233;7678;-;12709
06.06.1999;04012;    Bremerhaven, kreisfreie Stadt;89728;51,8;45888;15634;19117;3549;2094;740;-;4754
14.05.1995;04;Bremen;507084;68,6;344440;112301;115001;44977;11607;8174;-;52380
14.05.1995;04011;    Bremen, kreisfreie Stadt;412047;70,4;287006;92662;94594;38472;9494;7351;-;44433
14.05.1995;04012;    Bremerhaven, kreisfreie Stadt;95037;61,1;57434;19639;20407;6505;2113;823;-;7947
__________
"zu ""gesamte Tabelle"":
Da aufgrund einer Wahlrechtänderung die Wählerinnen und
Wähler ab der Bürgerschaftswahl 2011 in Hamburg und Bremen
bis zu 5 Stimmen vergeben konnten, ist ein Vergleich mit den
vorangegangenen Wahlen nicht sinnvoll.
 
 
zu ""CDU/CSU"":
CSU nur in Bayern"
"© Statistische Ämter des Bundes und der Länder, Deutschland, 2023.
Dieses Werk ist lizenziert unter der Datenlizenz Deutschland
- Namensnennung - Version 2.0."
Stand: 14.11.2023 / 11:17:38
