GENESIS-Tabelle: 14332-01-03-4
Landtagswahlen: Hamburg - Wahlberechtigte und -beteiligung,;;;;;;;;;;;;
Gültige Stimmen nach Parteien - Wahl-/Stichtag -;;;;;;;;;;;;
Bürgerschaftswahl: Hamburg;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
23.02.2020;02;Hamburg;1316691;63,0;4062376;453717;1593825;981628;202059;368683;215306;247158
15.02.2015;02;Hamburg;1299411;56,5;3530097;561377;1611274;432713;262157;300567;214833;147176
20.02.2011;02;Hamburg;1254638;57,3;3444602;753805;1667804;384502;229125;220428;-;188938
27.02.2008;02;Hamburg;1237397;63,5;777531;331067;265516;74472;36953;50132;-;19391
29.02.2004;02;Hamburg;1214935;68,7;824128;389170;251441;101227;23373;-;-;58917
23.09.2001;02;Hamburg;1207495;71,0;850668;223015;310362;72771;43214;-;-;201306
21.09.1997;02;Hamburg;1211288;68,7;822931;252354;298218;114776;28664;5354;-;123565
__________
"Zu  gesamte Tabelle
Da aufgrund einer Wahlrechtänderung die Wählerinnen und
Wähler bei der Bürgerschaftswahl 2011 in Hamburg und Bremen
bis zu 5 Stimmen vergeben konnten, ist ein Vergleich mit den
vorangegangenen Wahlen nicht sinnvoll.
 
Zu  Grüne
Hamburg: Gründe/GAL
zu ""CDU/CSU"":
CSU nur in Bayern"
"© Statistische Ämter des Bundes und der Länder, Deutschland, 2023.
Dieses Werk ist lizenziert unter der Datenlizenz Deutschland
- Namensnennung - Version 2.0."
Stand: 14.11.2023 / 11:12:49
