GENESIS-Tabelle: 14336-01-03-4
Landtagswahlen: Hessen - Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, G¸ltige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. St‰dte;;;;;;;;;;;;
Landtagswahlen: Hessen;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;G¸ltige Stimmen;G¸ltige Stimmen;G¸ltige Stimmen;G¸ltige Stimmen;G¸ltige Stimmen;G¸ltige Stimmen;G¸ltige Stimmen;G¸ltige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GR‹NE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
28.10.2018;06;Hessen;4372788;67,3;2881261;776910;570446;570512;215946;181332;378692;187423
28.10.2018;064;  Darmstadt, Regierungsbezirk;2656003;67,8;1764765;472242;318628;383271;141187;116095;221226;112116
28.10.2018;06411;    Darmstadt, kreisfreie Stadt, Wissenschaftsstadt;105402;70,6;73266;13992;12812;22311;4955;8071;6572;4553
28.10.2018;06412;    Frankfurt am Main, kreisfreie Stadt;418703;64,7;266723;60935;49182;69385;21579;27798;23994;13850
28.10.2018;06413;    Offenbach am Main, kreisfreie Stadt;66776;58,4;38239;8322;6920;8855;2480;3976;5135;2551
28.10.2018;06414;    Wiesbaden, kreisfreie Stadt, Landeshauptstadt;186051;65,3;119345;30482;21122;27251;10479;9172;14601;6238
28.10.2018;06431;    Bergstraﬂe, Landkreis;197146;65,9;127064;36755;21906;25559;10480;6046;18272;8046
28.10.2018;06432;    Darmstadt-Dieburg, Landkreis;213568;70,5;147249;38744;29769;31413;10637;8977;17926;9783
28.10.2018;06433;    Groﬂ-Gerau, Landkreis;174125;65,5;111328;27872;23902;21764;6810;7230;15436;8314
28.10.2018;06434;    Hochtaunuskreis;163018;72,7;116697;37519;16565;25971;12462;5379;12929;5872
28.10.2018;06435;    Main-Kinzig-Kreis;297782;67,0;195188;51829;37575;34766;13794;9861;31979;15384
28.10.2018;06436;    Main-Taunus-Kreis;164460;72,4;117114;36062;17964;26068;10838;5750;13580;6852
28.10.2018;06437;    Odenwaldkreis;70409;66,5;45464;12103;10299;7149;3865;2810;6588;2650
28.10.2018;06438;    Offenbach, Landkreis;236673;69,0;159725;45910;25769;34122;13358;8855;20881;10830
28.10.2018;06439;    Rheingau-Taunus-Kreis;137643;72,2;97516;29402;16624;20013;8444;4897;12606;5530
28.10.2018;06440;    Wetteraukreis;224247;68,3;149847;42315;28219;28644;11006;7273;20727;11663
28.10.2018;065;  Gieﬂen, Regierungsbezirk;782210;66,4;508399;144020;108057;85401;33679;30573;71338;35331
28.10.2018;06531;    Gieﬂen, Landkreis;198531;69,2;134705;35097;28572;25948;8323;9117;17248;10400
28.10.2018;06532;    Lahn-Dill-Kreis;189291;61,4;113892;34657;23760;16904;7367;5212;17734;8258
28.10.2018;06533;    Limburg-Weilburg, Landkreis;128361;64,9;81160;25871;15767;12516;6555;3280;11488;5683
28.10.2018;06534;    Marburg-Biedenkopf, Landkreis;181454;68,4;121953;32426;27027;22124;7500;10191;15736;6949
28.10.2018;06535;    Vogelsbergkreis;84573;68,7;56689;15969;12931;7909;3934;2773;9132;4041
28.10.2018;066;  Kassel, Regierungsbezirk;934575;66,7;608097;160648;143761;101840;41080;34664;86128;39976
28.10.2018;06611;    Kassel, kreisfreie Stadt, documenta-Stadt;139022;62,2;84785;16473;18109;21429;4843;9879;9032;5020
28.10.2018;06631;    Fulda, Landkreis;168971;69,5;115052;42662;13840;17431;8815;4535;20113;7656
28.10.2018;06632;    Hersfeld-Rotenburg, Landkreis;93293;66,2;60111;15508;16407;7799;3807;2753;9919;3918
28.10.2018;06633;    Kassel, Landkreis;187849;68,1;124535;28382;37845;20102;7782;6851;16013;7560
28.10.2018;06634;    Schwalm-Eder-Kreis;142132;68,9;95020;22071;26237;14240;6630;4370;13917;7555
