GENESIS-Tabelle: 14343-01-04-4
Landtagswahlen: Mecklenburg-Vorpommern - Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;
Landtagswahlen: Mecklenburg-Vorpommern;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
26.09.2021;13;Mecklenburg-Vorpommern;1312471;70,8;913863;121583;361769;57554;52963;90881;152775;76338
26.09.2021;13001;    Greifswald, Hansestadt, kreisfreie Stadt;-;-;-;-;-;-;-;-;-;-
26.09.2021;13002;    Neubrandenburg, Stadt,  kreisfreie Stadt;-;-;-;-;-;-;-;-;-;-
26.09.2021;13003;    Rostock, kreisfreie Stadt;166899;72,8;119786;10858;46833;14408;7509;16191;12789;11198
26.09.2021;13004;    Schwerin, kreisfreie Stadt;75563;72,1;53706;6198;20539;5154;3611;6598;7071;4535
26.09.2021;13005;    Stralsund, Hansestadt,  kreisfreie Stadt;-;-;-;-;-;-;-;-;-;-
26.09.2021;13006;    Wismar, Hansestadt,  kreisfreie Stadt;-;-;-;-;-;-;-;-;-;-
26.09.2021;13051;    Bad Doberan, Landkreis;-;-;-;-;-;-;-;-;-;-
26.09.2021;13052;    Landkreis Demmin;-;-;-;-;-;-;-;-;-;-
26.09.2021;13053;    Güstrow, Landkreis;-;-;-;-;-;-;-;-;-;-
26.09.2021;13054;    Landkreis Ludwigslust;-;-;-;-;-;-;-;-;-;-
26.09.2021;13055;    Mecklenburg-Strelitz, Landkreis;-;-;-;-;-;-;-;-;-;-
26.09.2021;13056;    Landkreis Müritz;-;-;-;-;-;-;-;-;-;-
26.09.2021;13057;    Nordvorpommern, Landkreis;-;-;-;-;-;-;-;-;-;-
