GENESIS-Tabelle: 14335-01-03-4
Landtagswahlen: Nordrhein-Westfalen - Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;
Landtagswahlen: Nordrhein-Westfalen;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
15.05.2022;05;Nordrhein-Westfalen;12965858;55,5;7146831;2552276;1905002;1299821;418460;146634;388768;435870
15.05.2022;051;  Düsseldorf, Regierungsbezirk;3654444;54,1;1964082;690990;538104;349147;120712;38752;104584;121793
15.05.2022;05111;    Düsseldorf, kreisfreie Stadt;407937;58,5;237436;78194;51565;57654;19488;5659;9648;15228
15.05.2022;05112;    Duisburg, kreisfreie Stadt;317217;46,8;146981;38066;52629;23073;6580;4027;11476;11130
15.05.2022;05113;    Essen, kreisfreie Stadt;404451;53,9;216665;66081;70189;38976;11113;4633;12592;13081
15.05.2022;05114;    Krefeld, kreisfreie Stadt;157919;51,7;80905;28454;21263;14988;5199;1767;4288;4946
15.05.2022;05116;    Mönchengladbach, kreisfreie Stadt;183961;47,8;87117;33793;21531;14410;5282;1802;4474;5825
15.05.2022;05117;    Mülheim an der Ruhr, kreisfreie Stadt;120640;58,2;69680;22296;22213;12244;4130;1215;3645;3937
15.05.2022;05119;    Oberhausen, kreisfreie Stadt;145898;49,5;71546;20948;26395;10090;2986;1627;5118;4382
15.05.2022;05120;    Remscheid, kreisfreie Stadt;75851;49,4;37141;13313;10800;5335;2217;838;2440;2198
15.05.2022;05122;    Solingen, kreisfreie Stadt;110736;51,2;56191;19125;15312;10258;3502;1150;3121;3723
15.05.2022;05124;    Wuppertal, kreisfreie Stadt;233374;50,3;116474;34870;32888;23083;6895;3601;7027;8110
