GENESIS-Tabelle: 14333-01-03-4
Landtagswahlen: Niedersachsen - Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;
Landtagswahlen: Niedersachsen;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09.10.2022;03;Niedersachsen;6064738;60,3;3623886;1017304;1211447;526940;170303;98586;396844;202462
09.10.2022;031;  Braunschweig, Statistische Region;1202437;59,4;707978;176382;250948;102556;32438;20915;83445;41294
09.10.2022;03101;    Braunschweig, kreisfreie Stadt;186315;60,2;111330;23375;35937;25566;5812;4126;8920;7594
09.10.2022;03102;    Salzgitter, kreisfreie Stadt;69716;53,0;36542;7967;14432;2814;1183;1350;6864;1932
09.10.2022;03103;    Wolfsburg, kreisfreie Stadt;85943;55,8;47466;12301;17471;5500;2245;1144;6006;2799
09.10.2022;03151;    Gifhorn, Landkreis;135502;63,1;84750;22632;28841;9738;3565;1875;13320;4779
09.10.2022;03152;    Göttingen, Landkreis;-;-;-;-;-;-;-;-;-;-
09.10.2022;03153;    Goslar, Landkreis;104021;56,6;58248;15094;21498;6059;2352;1658;8267;3320
09.10.2022;03154;    Helmstedt, Landkreis;71848;58,7;41703;11362;14901;4145;1985;1022;5722;2566
09.10.2022;03155;    Northeim, Landkreis;105319;59,4;61995;15648;24158;6849;3422;1557;7354;3007
09.10.2022;03156;    Osterode am Harz, Landkreis;-;-;-;-;-;-;-;-;-;-
09.10.2022;03157;    Peine, Landkreis;104170;62,1;64129;16278;24131;7495;2603;1427;7912;4283
09.10.2022;03158;    Wolfenbüttel, Landkreis;94895;64,3;60369;15724;21812;8233;2959;1519;6758;3364
09.10.2022;03159;    Göttingen, Landkreis;244708;58,3;141446;36001;47767;26157;6312;5237;12322;7650
