GENESIS-Tabelle: 14337-01-04-4
Landtagswahlen: Rheinland-Pfalz - Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;
Landtagswahlen: Rheinland.Pfalz;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
14.03.2021;07;Rheinland-Pfalz;3042414;64,3;1934879;535318;690962;179860;106809;48206;160293;213431
14.03.2021;071;  Koblenz, Statistische Region;1144704;63,1;710720;220093;249840;58304;39908;16396;53300;72879
14.03.2021;07111;    Koblenz, kreisfreie Stadt;82552;61,1;50026;13908;15690;7094;2915;1618;3026;5775
14.03.2021;07131;    Ahrweiler, Landkreis;100614;64,1;63870;21610;20681;6277;3675;1256;3891;6480
14.03.2021;07132;    Altenkirchen (Westerwald), Landkreis;99391;59,1;57991;19390;20148;4054;3393;1521;4807;4678
14.03.2021;07133;    Bad Kreuznach, Landkreis;119364;63,6;75075;20587;29294;5756;4371;1812;6205;7050
14.03.2021;07134;    Birkenfeld, Landkreis;62934;59,6;36994;9685;13937;2026;2288;1057;3693;4308
14.03.2021;07135;    Cochem-Zell, Landkreis;48387;68,7;32785;12758;10047;2025;1909;574;2106;3366
14.03.2021;07137;    Mayen-Koblenz, Landkreis;165611;61,9;101567;32300;35635;8422;5260;1958;7303;10689
14.03.2021;07138;    Neuwied, Landkreis;137368;60,7;82533;25857;28600;7280;4599;1994;6606;7597
14.03.2021;07140;    Rhein-Hunsrück-Kreis;80416;66,9;53066;16733;18497;3454;3561;1087;3827;5907
14.03.2021;07141;    Rhein-Lahn-Kreis;93813;64,8;60045;15583;24328;4553;2533;1285;4469;7294
14.03.2021;07143;    Westerwaldkreis;154254;63,5;96768;31682;32983;7363;5404;2234;7367;9735
