GENESIS-Tabelle: 14344-01-03-4
Landtagswahlen: Sachsen - Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;
Landtagswahlen: Sachsen;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
01.09.2019;14;Sachsen;3288643;66,5;2166457;695560;167289;187015;97438;224354;595671;199130
01.09.2019;141;  Chemnitz, Regierungsbezirk;-;-;-;-;-;-;-;-;-;-
01.09.2019;14161;    Chemnitz, kreisfreie Stadt;-;-;-;-;-;-;-;-;-;-
01.09.2019;14166;    Plauen, kreisfreie Stadt;-;-;-;-;-;-;-;-;-;-
01.09.2019;14167;    Zwickau, kreisfreie Stadt;-;-;-;-;-;-;-;-;-;-
01.09.2019;14171;    Annaberg, Landkreis;-;-;-;-;-;-;-;-;-;-
01.09.2019;14173;    Chemnitzer Land, Landkreis;-;-;-;-;-;-;-;-;-;-
01.09.2019;14177;    Freiberg, Landkreis;-;-;-;-;-;-;-;-;-;-
01.09.2019;14178;    Vogtlandkreis;-;-;-;-;-;-;-;-;-;-
01.09.2019;14181;    Mittlerer Erzgebirgskreis;-;-;-;-;-;-;-;-;-;-
01.09.2019;14182;    Mittweida, Landkreis;-;-;-;-;-;-;-;-;-;-
01.09.2019;14188;    Stollberg, Landkreis;-;-;-;-;-;-;-;-;-;-
01.09.2019;14191;    Aue-Schwarzenberg, Landkreis;-;-;-;-;-;-;-;-;-;-
01.09.2019;14193;    Zwickauer Land, Landkreis;-;-;-;-;-;-;-;-;-;-
01.09.2019;142;  Dresden, Regierungsbezirk;-;-;-;-;-;-;-;-;-;-
01.09.2019;14262;    Dresden, kreisfreie Stadt;-;-;-;-;-;-;-;-;-;-
