GENESIS-Tabelle: 14340-01-03-4
Landtagswahlen: Saarland - Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;
Landtagswahlen: Saarland;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
27.03.2022;10;Saarland;746307;61,4;452411;129154;196801;22598;21618;11689;25719;44832
27.03.2022;10041;    Saarbrücken, Regionalverband;235008;58,2;135117;34495;58953;8972;7548;4248;7265;13636
27.03.2022;10041100;    Saarbrücken, Landeshauptstadt;121685;56,8;68478;15629;28898;6413;4258;2539;3412;7329
27.03.2022;10042;    Merzig-Wadern, Landkreis;77696;63,3;48511;14153;21931;1729;2273;1194;2778;4453
27.03.2022;10043;    Neunkirchen, Landkreis;102037;59,4;59773;16493;27155;2166;2413;1595;3710;6241
27.03.2022;10044;    Saarlouis, Landkreis;150330;61,7;91531;26167;40331;3756;4224;1983;5198;9872
27.03.2022;10045;    Saarpfalz-Kreis;110671;63,1;69073;21496;27370;4208;3353;1749;4366;6531
27.03.2022;10046;    St. Wendel, Landkreis;70565;69,6;48406;16350;21061;1767;1807;920;2402;4099
26.03.2017;10;Saarland;774951;69,7;533783;217263;158057;21392;17419;68566;32971;18115
26.03.2017;10041;    Saarbrücken, Regionalverband;245597;67,1;162874;59522;46751;8455;6582;25351;10327;5886
26.03.2017;10041100;    Saarbrücken, Landeshauptstadt;127531;64,9;81837;27200;22919;5975;3751;13953;5019;3020
26.03.2017;10042;    Merzig-Wadern, Landkreis;79514;71,6;56290;23829;18361;1782;1674;5987;3012;1645
26.03.2017;10043;    Neunkirchen, Landkreis;106784;67,0;70663;27219;23181;2124;1879;8952;4710;2598
