GENESIS-Tabelle: 14345-01-04-4
Landtagswahlen: Sachsen-Anhalt - Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;
Landtagswahlen: Sachsen-Anhalt;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
06.06.2021;15;Sachsen-Anhalt;1788930;60,3;1063697;394810;89475;63145;68277;116927;221487;109576
06.06.2021;15001;    Dessau-Roßlau, kreisfreie Stadt;65076;58,2;37350;14988;3005;2846;2608;4039;6858;3006
06.06.2021;15002;    Halle (Saale), kreisfreie Stadt;181768;62,0;111244;35676;9806;15440;8044;14604;16698;10976
06.06.2021;15003;    Magdeburg, kreisfreie Stadt, Landeshauptstadt;183678;64,3;116847;38411;11166;12580;7924;14724;17683;14359
06.06.2021;15081;    Altmarkkreis Salzwedel;68103;61,6;41334;15535;3931;2048;2424;4945;7658;4793
06.06.2021;15082;    Anhalt-Bitterfeld, Landkreis;132031;58,8;76172;29524;5176;2795;4347;8607;18384;7339
06.06.2021;15083;    Börde, Landkreis;140579;63,0;87403;32711;7649;3553;5844;8884;19448;9314
06.06.2021;15084;    Burgenlandkreis;145095;56,2;80720;31156;6223;2933;5041;7926;20118;7323
06.06.2021;15085;    Harz, Landkreis;179097;58,7;103820;39796;10726;5392;6525;11320;20068;9993
06.06.2021;15086;    Jerichower Land, Landkreis;74771;62,1;45616;18062;4252;1981;2649;4723;9598;4351
06.06.2021;15087;    Mansfeld-Südharz, Landkreis;113186;58,7;65151;24430;5133;1785;3932;7237;16794;5840
06.06.2021;15088;    Saalekreis;152344;63,0;94569;36057;6930;3900;6843;9118;22537;9184
06.06.2021;15089;    Salzlandkreis;157091;55,0;85293;32549;6698;2904;5861;9497;20173;7611
