GENESIS-Tabelle: 14346-01-03-4
Landtagswahlen: Thüringen - Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;
Landtagswahlen: Thüringen;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
27.10.2019;16;Thüringen;1729242;64,9;1108388;241049;90987;57474;55493;343780;259382;60223
27.10.2019;16051;    Erfurt, kreisfreie Stadt;164063;67,9;110260;18547;10417;10728;6466;37640;19642;6820
27.10.2019;16052;    Gera, kreisfreie Stadt;76105;62,2;46845;7203;3802;1768;2092;15863;13465;2652
27.10.2019;16053;    Jena, kreisfreie Stadt;81102;70,9;57168;7740;5173;8174;4393;21557;7258;2873
27.10.2019;16054;    Suhl, kreisfreie Stadt;30475;61,9;18673;3917;1384;867;685;7402;3572;846
27.10.2019;16055;    Weimar, kreisfreie Stadt;49332;67,7;33036;5753;3096;4183;1747;11619;4875;1763
27.10.2019;16056;    Eisenach, kreisfreie Stadt;32823;61,6;19980;3788;1666;1119;981;6664;4157;1605
27.10.2019;16061;    Eichsfeld, Landkreis;80872;66,6;53198;20215;3324;2395;2586;10844;11166;2668
27.10.2019;16062;    Nordhausen, Landkreis;68751;60,2;40916;8532;3347;1819;1638;14342;9022;2216
27.10.2019;16063;    Wartburgkreis;98441;64,5;62706;15893;4916;2261;2692;18322;15241;3381
27.10.2019;16064;    Unstrut-Hainich-Kreis;84047;61,4;50851;12063;4618;2056;2596;14566;12476;2476
27.10.2019;16065;    Kyffhäuserkreis;62652;60,6;37395;7633;3390;975;1500;12279;9511;2107
27.10.2019;16066;    Schmalkalden-Meiningen, Landkreis;103853;63,1;64818;15002;6489;2704;2682;19631;15024;3286
