,year,id_c,county,state,grund,rate_gw,treated_b,high_gw_rate,rate_change,first_rate_change_year,ever_treated,rate_change_treatment_indicator,event_time_rate_change,eigengewinnung,fremdbezug,n_betriebe_eg,match_rpf_sa,high_gw_cont,gdp,gdp_pw,gdp_pc,perc_gruene,mean_precip,pop_density,betrieb_wassernutzung,grund_perfirm,log_grund_perfirm
0,2019,1051,Dithmarschen,1,8262.0,0.08,1,0,0,2016.0,1,1,3.0,36899.0,9636.0,21.0,False,0.25806451612903225,4643249.0,74237.0,34859.0,0.08492817646797218,696.1090909090909,93.3,40868,393.4761904761905,5.975020558977762
1,2019,1001,Flensburg,1,1469.0,0.08,1,0,0,2016.0,1,1,3.0,9601.0,274.0,6.0,False,0.25806451612903225,3971619.0,64479.0,44211.0,0.1426850133744608,,1700.6,9808,245.0,5.501258210544727
2,2019,1053,Herzogtum Lauenburg,1,2189.0,0.08,1,0,0,2016.0,1,1,3.0,8511.0,1542.0,85.0,False,0.25806451612903225,4815048.0,67404.0,24362.0,0.11381543665690359,675.0666666666666,156.8,9683,25.764705882352942,3.24900556632023
3,2019,1002,Kiel,1,417.0,0.08,1,0,0,2016.0,1,1,3.0,50059.0,1066.0,11.0,False,0.25806451612903225,12145485.0,69131.0,49138.0,0.18341769504287805,745.1,2080.0,51038,38.0,3.6375861597263857
4,2019,1003,Lübeck,1,289.0,0.08,1,0,0,2016.0,1,1,3.0,324.0,4213.0,13.0,False,0.25806451612903225,9851558.0,74006.0,45427.0,0.14602882037533513,,1010.9,4473,22.307692307692307,3.104931565518983
5,2019,1004,Neumünster,1,128.0,0.08,1,0,0,2016.0,1,1,3.0,150.0,367.0,9.0,False,0.25806451612903225,3519766.0,65412.0,44084.0,0.13079003227588612,,1119.1,496,14.333333333333334,2.662587827025453
6,2019,1054,Nordfriesland,1,298.0,0.08,1,0,0,2016.0,1,1,3.0,320.0,1122.0,16.0,False,0.25806451612903225,6123590.0,66397.0,36949.0,0.11875099642426037,904.8,79.6,1441,18.6875,2.9278548511509053
7,2019,1055,Ostholstein,1,655.0,0.08,1,0,0,2016.0,1,1,3.0,1131.0,1346.0,33.0,False,0.25806451612903225,5625323.0,60571.0,28048.0,0.11208546214584302,607.7,144.0,2419,19.87878787878788,2.989653227477609
8,2019,1056,Pinneberg,1,2327.0,0.08,1,0,0,2016.0,1,1,3.0,215146.0,1324.0,73.0,False,0.25806451612903225,9633372.0,72481.0,30558.0,0.12096149212324084,806.8333333333334,475.9,216153,31.89041095890411,3.462305367702937
9,2019,1057,Plön,1,109.0,0.08,1,0,0,2016.0,1,1,3.0,138.0,203.0,14.0,False,0.25806451612903225,2784215.0,61736.0,21639.0,0.15238647444851489,767.475,118.8,310,7.857142857142857,2.0614230361771577
10,2019,1058,Rendsburg-Eckernförde,1,2995.0,0.08,1,0,0,2016.0,1,1,3.0,3086.0,271.0,42.0,False,0.25806451612903225,8585255.0,70569.0,31398.0,0.1372338453474473,906.5555555555555,125.2,3264,71.33333333333333,4.267363726353742
11,2019,1059,Schleswig-Flensburg,1,2458.0,0.08,1,0,0,2016.0,1,1,3.0,4980.0,759.0,37.0,False,0.25806451612903225,5548406.0,64603.0,27660.0,0.12963810849419435,867.1,97.1,5409,66.45945945945945,4.196592129571968
12,2019,1060,Segeberg,1,3174.0,0.08,1,0,0,2016.0,1,1,3.0,4010.0,1252.0,83.0,False,0.25806451612903225,9127131.0,71111.0,32997.0,0.11088958652601509,766.7666666666668,206.2,4953,38.25301204819277,3.644222303530194
13,2019,1061,Steinburg,1,1064.0,0.08,1,0,0,2016.0,1,1,3.0,1701094.0,3619.0,21.0,False,0.25806451612903225,4663033.0,80585.0,35547.0,0.12150079751818195,739.52,124.1,1695938,50.714285714285715,3.9262076404201025
14,2019,1062,Stormarn,1,1215.0,0.08,1,0,0,2016.0,1,1,3.0,1673.0,4148.0,48.0,False,0.25806451612903225,8570016.0,72088.0,35170.0,0.1244290151653572,739.7,318.7,5592,25.333333333333332,3.2321210516182215
15,2019,3101,Braunschweig,3,334.0,0.09,1,0,0,2016.0,1,1,3.0,4174.0,2097.0,7.0,False,0.29032258064516125,20607204.0,121553.0,82810.0,0.1186237462480465,577.8,1294.3,6218,47.857142857142854,3.868220382769753
16,2019,3151,Gifhorn,3,33792.0,0.09,1,0,0,2016.0,1,1,3.0,36693.0,2120.0,59.0,False,0.29032258064516125,3800245.0,63214.0,21565.0,0.07232016925246826,777.0,112.6,38800,572.7627118644068,6.350471515525386
17,2019,3153,Goslar,3,1047.0,0.09,1,0,0,2016.0,1,1,3.0,9112.0,2650.0,21.0,False,0.29032258064516125,4009169.0,63595.0,29338.0,0.06371959678165172,871.4799999999999,141.0,8984,49.904761904761905,3.9101164271575644
18,2019,3159,Göttingen,3,,0.09,1,0,0,2016.0,1,1,3.0,5623.0,2180.0,24.0,False,0.29032258064516125,11849736.0,66513.0,36231.0,0.11293797626840724,690.2,185.7,7604,,
19,2019,3154,Helmstedt,3,6649.0,0.09,1,0,0,2016.0,1,1,3.0,20269.0,330.0,29.0,False,0.29032258064516125,1926082.0,62478.0,21096.0,0.05733877030320979,533.9,135.0,13304,229.31034482758622,5.4350763036634255
20,2019,3155,Northeim,3,259.0,0.09,1,0,0,2016.0,1,1,3.0,4721.0,835.0,12.0,False,0.29032258064516125,3824646.0,61541.0,28860.0,0.0637082468957638,699.25,104.3,4863,21.666666666666668,3.0757749812275277
21,2019,3157,Peine,3,9675.0,0.09,1,0,0,2016.0,1,1,3.0,13364.0,281.0,40.0,False,0.29032258064516125,3014976.0,64845.0,22436.0,0.06696651674162919,584.7,251.3,12458,241.9,5.488524417615982
22,2019,3102,Salzgitter,3,20019.0,0.09,1,0,0,2016.0,1,1,3.0,20040.0,562.0,5.0,False,0.29032258064516125,5814104.0,99947.0,55574.0,0.042660186232285076,629.4,464.6,19539,4004.0,8.295049140435111
23,2019,3158,Wolfenbüttel,3,837.0,0.09,1,0,0,2016.0,1,1,3.0,1753.0,155.0,7.0,False,0.29032258064516125,2565729.0,68840.0,21418.0,0.08035263327058176,584.775,165.2,1368,119.71428571428571,4.785107951426769
24,2019,3103,Wolfsburg,3,,0.09,1,0,0,2016.0,1,1,3.0,2884.0,8968.0,6.0,False,0.29032258064516125,24331440.0,184059.0,195809.0,0.05754534928598996,,607.8,6643,,
25,2019,3251,Diepholz,3,5822.0,0.09,1,0,0,2016.0,1,1,3.0,6187.0,1073.0,71.0,False,0.29032258064516125,6824435.0,65761.0,31451.0,0.08909580798415737,700.0714285714286,109.0,7045,82.01408450704226,4.406890994795805
26,2019,3252,Hameln-Pyrmont,3,2095.0,0.09,1,0,0,2016.0,1,1,3.0,324572.0,637.0,24.0,False,0.29032258064516125,5373622.0,75742.0,36173.0,0.07906976744186046,877.75,186.3,325080,87.33333333333333,4.4697322150929875
27,2019,3254,Hildesheim,3,1433.0,0.09,1,0,0,2016.0,1,1,3.0,16388.0,2054.0,19.0,False,0.29032258064516125,8191561.0,63733.0,29657.0,0.08496893011210493,702.98,228.3,18193,75.47368421052632,4.323784041993125
28,2019,3255,Holzminden,3,2014.0,0.09,1,0,0,2016.0,1,1,3.0,3167.0,377.0,12.0,False,0.29032258064516125,2265992.0,72135.0,32043.0,0.07564029595902105,758.8875,101.5,3509,167.91666666666666,5.123467824592783
29,2019,3256,Nienburg (Weser),3,5883.0,0.09,1,0,0,2016.0,1,1,3.0,17081.0,2432.0,44.0,False,0.29032258064516125,3898903.0,66572.0,32119.0,0.0804899387576553,653.2333333333332,86.7,18535,133.72727272727272,4.895802447803067
30,2019,3241,Region Hannover,3,21176.0,0.09,1,0,0,2016.0,1,1,3.0,26302.0,8044.0,114.0,False,0.29032258064516125,54927041.0,79125.0,47458.0,0.09995030235755459,634.6444444444445,503.7,32015,185.76315789473685,5.224472517669087
31,2019,3257,Schaumburg,3,1403.0,0.09,1,0,0,2016.0,1,1,3.0,1641.0,565.0,9.0,False,0.29032258064516125,4187132.0,63748.0,26534.0,0.07967748976107024,726.65,233.6,2069,156.0,5.049856007249537
32,2019,3351,Celle,3,,0.09,1,0,0,2016.0,1,1,3.0,21774.0,1319.0,31.0,False,0.29032258064516125,5504556.0,66343.0,30756.0,0.0646859200775677,611.8333333333334,115.4,20574,,
33,2019,3352,Cuxhaven,3,751.0,0.09,1,0,0,2016.0,1,1,3.0,2030.0,1470.0,21.0,False,0.29032258064516125,4897441.0,65004.0,24719.0,0.07206632653061225,878.0,96.2,3338,35.80952380952381,3.578213886226417
34,2019,3353,Harburg,3,7307.0,0.09,1,0,0,2016.0,1,1,3.0,7865.0,951.0,41.0,False,0.29032258064516125,6447516.0,64667.0,25424.0,0.10607502455795678,721.25,203.8,8548,178.2439024390244,5.183152850793589
35,2019,3358,Heidekreis,3,14869.0,0.09,1,0,0,2016.0,1,1,3.0,18413.0,2761.0,55.0,False,0.29032258064516125,4983801.0,68672.0,35544.0,0.07179395669759696,670.0666666666667,74.8,18324,270.3636363636364,5.59976785422173
36,2019,3354,Lüchow-Dannenberg,3,20603.0,0.09,1,0,0,2016.0,1,1,3.0,20609.0,913.0,87.0,False,0.29032258064516125,1269130.0,60163.0,26212.0,0.15468731292652751,629.5,39.4,21411,236.82758620689654,5.467332392030892
37,2019,3355,Lüneburg,3,14423.0,0.09,1,0,0,2016.0,1,1,3.0,15339.0,1278.0,103.0,False,0.29032258064516125,5435485.0,62869.0,29580.0,0.1418794822459332,637.8,138.7,16583,140.03883495145632,4.941919776653518
38,2019,3356,Osterholz,3,115.0,0.09,1,0,0,2016.0,1,1,3.0,115.0,88.0,6.0,False,0.29032258064516125,2431365.0,59467.0,21380.0,0.09855285837403045,808.7666666666668,174.6,203,19.333333333333332,2.9618307218783095
